0,23.78,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,33.37,0,0,0,1
1090,-0.14,16.43,0,0,1
0,0,0,0,0,1
146,-0.16,23.46,0,0,1
4,-0.16,23.46,0,0,1
0,32.41,23.46,0,0,1
40,-0.53,16.75,0,0,1
76,0.05,27.3,0,0,1
0,0,0,0,0,1
4,26.66,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
7,22.18,0,0,0,1
462,-0.05,25.7,0,0,1
0,0,0,0,0,1
18,-0.59,32.41,0,0,1
555,-0.4,16.43,0,0,1
18,-0.4,16.43,0,0,1
0,25.06,16.43,0,0,1
0,0,0,0,0,1
0,27.3,0,0,0,1
723,0.08,15.79,0,0,1
8,0.08,15.79,0,0,1
8,0.14,25.06,0,0,1
0,0,0,0,0,1
7,29.53,0,0,0,1
0,19.62,0,0,0,1
1908,-1.06,22.5,0,0,1
1945,-0.07,23.78,0,0,1
0,25.38,23.78,0,0,1
1,-0.78,31.13,0,0,1
0,0,0,0,0,1
58,-0.72,23.46,0,0,1
1,-0.72,23.46,0,0,1
25,-0.72,23.46,0,0,1
51,-0.04,30.49,0,0,1
0,0,0,0,0,1
3,18.98,0,0,0,1
243,0.1,26.98,0,0,1
6,0.1,26.98,0,0,1
26,0.1,26.98,0,0,1
35,0.01,25.7,0,0,1
0,0,0,0,0,1
70,23.78,0,0,0,1
3,24.74,0,0,0,1
0,25.38,0,0,0,1
0,0,0,0,0,1
20,-0.0,17.07,0,0,1
557,-0.2,24.42,0,0,1
26,-0.2,24.42,0,0,1
2,-0.16,25.06,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,15.15,0,0,0,1
741,-0.02,28.57,0,0,1
22,-0.02,28.57,0,0,1
0,27.3,28.57,0,0,1
0,24.1,28.57,0,0,1
5,24.1,28.57,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
3020,0.08,17.07,0,0,1
23,28.57,17.07,0,0,1
5,-0.14,24.74,0,0,1
0,-0.14,24.74,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,28.25,0,0,0,1
0,25.38,0,0,0,1
0,25.38,0,0,0,1
7,25.38,0,0,0,1
0,15.47,0,0,0,1
0,0,0,0,0,1
53,22.82,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,15.15,0,0,0,1
522,0.31,26.34,0,0,1
0,0,0,0,0,1
0,25.38,0,0,0,1
4,-0.29,31.45,0,0,1
0,-0.29,31.45,0,0,1
73,22.18,31.45,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
801,-0.41,14.83,0,0,1
3,-0.41,14.83,0,0,1
0,24.1,14.83,0,0,1
895,-0.59,26.02,0,0,1
0,0,0,0,0,1
0,14.83,0,0,0,1
0,0,0,0,0,1
6,0,0,0,0,1
3,-0.6,24.74,0,0,1
0,0,0,0,0,1
18,-0.35,15.47,0,0,1
56,-0.33,26.34,0,0,1
23,-0.33,26.34,0,0,1
1,-0.15,28.57,0,0,1
0,0,0,0,0,1
6,0,0,0,0,1
5,-0.51,26.02,0,0,1
0,0,0,0,0,1
73,29.21,0,0,0,1
9,-0.96,16.75,0,0,1
0,-0.96,16.75,0,0,1
0,0,0,0,0,1
4493,-0.78,24.42,0,0,1
3,29.53,24.42,0,0,1
0,16.43,24.42,0,0,1
43,16.43,24.42,0,0,1
0,0,0,0,0,1
